molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,mean_standard_value
CHEMBL611334,COc1ccc(CCCNC(=O)N(CCC(N)=O)CC(CCC(=O)O)N(CC(CCCCN)N(CC(CCC(=O)O)NC(N)=O)C(=O)NCCCC(C)C)C(=O)NCCc2ccc(Br)cc2)cc1,IC50,100000.0,nM,100000.0
CHEMBL594148,CC(C)CCC(=O)NC(CCC(=O)O)CN(CCC1CCC2(CCCCC2)CC1)C(CCCCN)CN(CCCCc1ccc(Br)cc1)[C@@H](CCC(=O)O)CN(CCCCCc1ccc(F)cc1)CCC(N)=O,IC50,100000.0,nM,100000.0
CHEMBL1256072,CC(C)C[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)[C@@H](C)O)C(=O)O,IC50,16000.0,nM,16000.0
CHEMBL1256049,CC[C@H](C)[C@@H]1NC(=O)[C@H](C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccccc2)NC1=O,IC50,209000.0,nM,209000.0
CHEMBL1688305,Cc1ccc2c(c1)C1=C([C@H](c3ccc(Br)cc3)n3ncnc3N1C)[C@@H](c1ccc(Br)cc1)O2,IC50,16000.0,nM,16000.0
CHEMBL1688153,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1cccc(Br)c1,IC50,100000.0,nM,100000.0
CHEMBL1688152,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1cccc2ccccc12,IC50,47000.0,nM,71500.0
CHEMBL1688151,Nc1ccc(CCN2C(=O)c3ccccc3C2(O)c2ccc(Cl)cc2)cc1,IC50,6200.0,nM,6200.0
CHEMBL1688150,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1CCc1ccc([N+](=O)[O-])cc1,IC50,6200.0,nM,6200.0
CHEMBL1688149,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1CCc1ccccc1,IC50,7200.0,nM,7200.0
CHEMBL1688148,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1cccc([N+](=O)[O-])c1,IC50,54000.0,nM,54000.0
CHEMBL1688147,O=C1c2ccccc2C(O)(c2ccc(Br)cc2)N1Cc1ccc([N+](=O)[O-])cc1,IC50,3100.0,nM,3100.0
CHEMBL1688146,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc([N+](=O)[O-])cc1,IC50,2400.0,nM,2400.0
CHEMBL1688145,O=C1c2ccccc2C(O)(c2ccc(F)cc2)N1Cc1ccc([N+](=O)[O-])cc1,IC50,9500.0,nM,9480.0
CHEMBL1688144,O=C1c2ccccc2C(O)(c2ccccc2)N1Cc1ccc([N+](=O)[O-])cc1,IC50,87000.0,nM,87000.0
CHEMBL1688143,N#Cc1ccc(CN2C(=O)c3ccccc3C2(O)c2ccc(Cl)cc2)cc1,IC50,6000.0,nM,6000.0
CHEMBL1688142,Cc1ccc(CN2C(=O)c3ccccc3C2(O)c2ccc(Cl)cc2)cc1,IC50,15000.0,nM,15000.0
CHEMBL1688141,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc(I)cc1,IC50,20000.0,nM,20000.0
CHEMBL1688140,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc(Br)cc1,IC50,4500.0,nM,4500.0
CHEMBL1688139,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc(Cl)cc1,IC50,4200.0,nM,4200.0
CHEMBL1688138,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccc(F)cc1,IC50,20000.0,nM,20000.0
CHEMBL1688137,O=C1c2ccccc2C(O)(c2ccc(Cl)cc2)N1Cc1ccccc1,IC50,74000.0,nM,74000.0
CHEMBL1688136,CCCN1C(=O)c2ccccc2C1(O)c1ccc(Cl)cc1,IC50,69000.0,nM,69000.0
